"authentischen Berichten zufolge","<div>au­then­tisch</div><div>echt; den Tatsachen entsprechend und daher glaubwürdig</div>"
"ein einfach gestrickter <em>(aufgebauter, geschriebener)</em> Roman","<div>stri­cken</div><div>an etwas [planvoll] arbeiten</div>"
"Kuchen, Eis mit Schlagsahne","<div>Schlag­sah­ne, die</div><div>schaumig geschlagene, gesüßte <a href=""http://www.duden.de/rechtschreibung/Sahne#b2-Bedeutung-1"">Sahne (1)</a>; Kurzform: <a href=""http://www.duden.de/rechtschreibung/Sahne#b2-Bedeutung-2"">Sahne (2)</a></div>"
"eine Fahne, Segel aufziehen <em>(hissen)</em>","<div>auf­zie­hen</div><div>nach oben ziehen</div>"
"einen Reißverschluss aufziehen","<div>auf­zie­hen</div><div>ziehend öffnen</div>"
"den Vorhang aufziehen <em>(auseinanderziehen)</em>","<div>auf­zie­hen</div><div>ziehend öffnen</div>"
"die Schublade aufziehen","<div>auf­zie­hen</div><div>durch Herausziehen öffnen</div>"
"Flaschen aufziehen","<div>auf­zie­hen</div><div>entkorken</div>"
"eine Schachtel mit vergilbten Fotos","<div>Schach­tel, die</div><div>zum Verpacken, Aufbewahren von Gegenständen, Waren dienender, verhältnismäßig flacher, dünnwandiger, nicht sehr fester Behälter aus Pappe o. Ä. mit Deckel oder Klappe zum Verschließen</div>"
"eine Schachtel Streichhölzer","<div>Schach­tel, die</div><div><a href=""http://www.duden.de/rechtschreibung/Schachtel#b2-Bedeutung-1"">Schachtel (1)</a> mit der abgepackten Ware[nmenge], die sie enthält</div>"
"den Reißverschluss öffnen, schließen","<div>Reiß­ver­schluss, der</div><div>an Kleidungsstücken, Taschen o. Ä. anstelle von Knöpfen angebrachte Vorrichtung, die aus kleinen Gliedern, Zähnchen besteht, die beim Zuziehen ineinandergreifen, sodass etwas geschlossen ist</div>"
"eine einfache Kamera","<div>Ka­me­ra, die</div><div>Fotoapparat</div>"
"mit versteckter Kamera filmen","<div>Ka­me­ra, die</div><div>Aufnahmegerät für Filmaufnahmen; Fernsehkamera</div>"
"das Objektiv [einer Kamera] auf etwas richten","<div>Ob­jek­tiv, das</div><div>dem zu beobachtenden Gegenstand zugewandte Linse[n] eines optischen Gerätes</div>"
"die Strümpfe anziehen, ausziehen","<div>Strumpf, der</div><div>gewirkter oder gestrickter Teil der Kleidung, der den Fuß und das [ganze] Bein bedeckt</div>"
"sie trägt keine Strümpfe","<div>Strumpf, der</div><div>gewirkter oder gestrickter Teil der Kleidung, der den Fuß und das [ganze] Bein bedeckt</div>"
"auf Strümpfen <em>(ohne Schuhe)</em>","<div>Strumpf, der</div><div>gewirkter oder gestrickter Teil der Kleidung, der den Fuß und das [ganze] Bein bedeckt</div>"
"eine Abweichung von der Regel","<div>Ab­wei­chung, die</div><div>das <a href=""http://www.duden.de/rechtschreibung/abweichen_abbiegen_sich_unterscheiden"">Abweichen</a></div>"
"es gibt erhebliche Abweichungen in ihrer Auffassung von der Sache","<div>Ab­wei­chung, die</div><div>Unterschied, Differenz</div>"
"[ein] Kontra geben","<div>Kon­t­ra, das</div><div>Ansage eines Spielers, die in die Punktwertung eingeht</div>"
"jemandem Kontra geben","umgangssprachlich: jemandem heftig widersprechen"
"&lt;besonders schweizerisch auch ohne »sich«&gt;: das Lokal rentiert nicht","<div>ren­tie­ren</div><div>in materieller oder ideeller Hinsicht von Nutzen sein, Gewinn bringen, einträglich sein</div>"
"das Geschäft beginnt sich zu rentieren","<div>ren­tie­ren</div><div>in materieller oder ideeller Hinsicht von Nutzen sein, Gewinn bringen, einträglich sein</div>"
"der Aufwand, die Anstrengung rentiert sich nicht","<div>ren­tie­ren</div><div>in materieller oder ideeller Hinsicht von Nutzen sein, Gewinn bringen, einträglich sein</div>"
"Schmerz empfinden","<div>emp­fin­den</div><div>(als einen über die Sinne vermittelten Reiz) wahrnehmen, verspüren</div>"
"Freude, Angst empfinden","<div>emp­fin­den</div><div>eine bestimmte Gemütsbewegung erfahren, erleiden; in Bezug auf jemanden, etwas von einer bestimmten Emotion erfüllt sein</div>"
"er empfindet nichts für sie <em>(er liebt sie nicht)</em>","<div>emp­fin­den</div><div>eine bestimmte Gemütsbewegung erfahren, erleiden; in Bezug auf jemanden, etwas von einer bestimmten Emotion erfüllt sein</div>"
"&lt;oft im 2. Partizip&gt;: ein [von vielen] als zu hoch empfundener Preis","<div>emp­fin­den</div><div>in bestimmter Weise spüren, auffassen, für etwas halten</div>"
"etwas als kränkend, als [eine] Wohltat empfinden","<div>emp­fin­den</div><div>in bestimmter Weise spüren, auffassen, für etwas halten</div>"
"ein blank gescheuerter, blank geputzter Boden","<div>blank</div><div>auf der Oberfläche glatt und glänzend</div>"
"eine französische Variante des Kochrezepts","<div>Va­ri­an­te, die</div><div>leicht veränderte Art, Form von etwas; Abwandlung, Abart, Spielart</div>"
"der Weg ist kaum passierbar, namentlich nach Regen","<div>na­ment­lich</div><div>besonders, vor allem, hauptsächlich</div>"
"von fester, hoher Konsistenz sein","<div>Kon­sis­tenz, die</div><div>Grad und Art des Zusammenhalts eines Stoffes</div>"
"ein [ganz] gewöhnlicher Tag","<div>ge­wöhn­lich</div><div>durchschnittlichen, normalen Verhältnissen entsprechend; durch keine Besonderheit hervorgehoben oder auffallend; alltäglich, normal</div>"
"im gewöhnlichen Leben","<div>ge­wöhn­lich</div><div>durchschnittlichen, normalen Verhältnissen entsprechend; durch keine Besonderheit hervorgehoben oder auffallend; alltäglich, normal</div>"
"zur gewöhnlichen Zeit","<div>ge­wöhn­lich</div><div>gewohnt, üblich</div>"
"er steht [für] gewöhnlich <em>(üblicherweise, in der Regel) </em>sehr früh auf","<div>ge­wöhn­lich</div><div>gewohnt, üblich</div>"
"es endete wie gewöhnlich <em>(wie meist, wie sonst auch immer)</em>","<div>ge­wöhn­lich</div><div>gewohnt, üblich</div>"
"er benahm sich recht gewöhnlich","<div>ge­wöhn­lich</div><div>in Art, Erscheinung, Auftreten ein niedriges Niveau verratend; ordinär</div>"
"ein ekliger Geruch","<div>ek­lig, selten eke­lig</div><div>ekelerregend, widerwärtig, abscheulich</div>"
"du, ich kann ganz schön eklig <em>(böse, unangenehm) </em>werden","<div>ek­lig, selten eke­lig</div><div>in seinem Auftreten unangenehm; gemein, niederträchtig</div>"
"sich eklig wehtun","<div>ek­lig, selten eke­lig</div><div>sehr, ganz gehörig, tüchtig</div>"
"ein Glas bis zum Rand füllen","<div>Rand, der</div><div>obere Begrenzung eines Gefäßes, eines zylindrischen Gegenstandes o. Ä.</div>"
"seine Sachen packen <em>(zusammenpacken, -legen und zum Transport in etwas unterbringen)</em>","<div>pa­cken</div><div>mit etwas füllen, indem hineingetan wird, was nötig ist, was hineingehört</div>"
"&lt;auch ohne Akkusativ-Objekt&gt;: ich muss noch packen <em>(Koffer o. Ä. für die Reise packen)</em>","<div>pa­cken</div><div>mit etwas füllen, indem hineingetan wird, was nötig ist, was hineingehört</div>"
"Kleider in den Koffer packen","<div>pa­cken</div><div>etwas irgendwohin legen, stecken, schieben und so dort unterbringen</div>"
"das Raubtier packt mit seinen Zähnen die Beute","<div>pa­cken</div><div>mit festem Griff oder Biss fassen und festhalten</div>"
"von Entsetzen gepackt werden","<div>pa­cken</div><div>(besonders von einem Gefühl, einer Gemütsbewegung, [körperlichen] Veränderung) heftig von jemandem Besitz ergreifen, jemanden überkommen</div>"
"&lt;oft unpersönlich&gt;: es hat ihn gepackt <em>(eine Krankheit, Leidenschaft o. Ä. hat von ihm Besitz ergriffen)</em>","<div>pa­cken</div><div>(besonders von einem Gefühl, einer Gemütsbewegung, [körperlichen] Veränderung) heftig von jemandem Besitz ergreifen, jemanden überkommen</div>"
"&lt;oft im 1. Partizip&gt;: ein packender Roman","<div>pa­cken</div><div>jemandes Interesse, Aufmerksamkeit stark in Anspruch nehmen, <a href=""http://www.duden.de/rechtschreibung/fesseln#b2-Bedeutung-2"">fesseln (2)</a></div>"
"eine Prüfung packen","<div>pa­cken</div><div>(mit den verfügbaren Kräften, mit äußerster Anstrengung) bewältigen</div>"
"das Brötchen packe ich nicht mehr <em>(kann ich nicht mehr essen)</em>","<div>pa­cken</div><div>(mit den verfügbaren Kräften, mit äußerster Anstrengung) bewältigen</div>"
"packen wirs noch? <em>(schaffen wir es noch rechtzeitig?)</em>","<div>pa­cken</div><div>(mit den verfügbaren Kräften, mit äußerster Anstrengung) bewältigen</div>"
"hast dus endlich gepackt?","<div>pa­cken</div><div>begreifen, verstehen</div>"
"alltagstaugliche Autos, Kleidung, Tipps","<div>all­tags­taug­lich</div><div>sich [gut] für die alltägliche Verwendung eignend; <a href=""http://www.duden.de/rechtschreibung/praktisch_faktisch_nutzbar_geschickt#b2-Bedeutung-2"">praktisch (2)</a></div>"
"Geschirr aus Porzellan","<div>Por­zel­lan, das</div><div>(aus einem Kaolin-Feldspat-Quarz-Gemisch) durch Brennen [und Glasieren] hergestellter, zerbrechlicher Werkstoff von weißer Farbe</div>"
"kostbares, altes, feines, chinesisches Porzellan","<div>Por­zel­lan, das</div><div>Geschirr o. Ä. aus <a href=""http://www.duden.de/rechtschreibung/Porzellan#b2-Bedeutung-1"">Porzellan (1)</a></div>"
"Schuhe fetten","<div>fet­ten</div><div>mit Fett einreiben, einschmieren</div>"
"den Mantel auf/über einen Bügel hängen","<div>Bü­gel, der</div><div>Kurzform für: <a href=""http://www.duden.de/rechtschreibung/Kleiderbuegel"">Kleiderbügel</a></div>"
"eine ovale Dose [aus Porzellan]","<div>Do­se, die</div><div>kleiner [runder] Behälter mit Deckel</div>"
"den Stecker aus der Dose ziehen","<div>Do­se, die</div><div>Kurzform für: <a href=""http://www.duden.de/rechtschreibung/Steckdose"">Steckdose</a></div>"
"in der Dose ist kein Strom","<div>Do­se, die</div><div>Kurzform für: <a href=""http://www.duden.de/rechtschreibung/Steckdose"">Steckdose</a></div>"
"sie nimmt die Einladung gern an, zumal sie allein ist","<div>zu­mal</div><div>besonders da, weil; vor allem da</div>"
"hast du Nadel und Faden <em>(Nähzeug) </em>bei dir?","<div>Fa­den, der</div><div>langes, sehr dünnes, aus Fasern gedrehtes, aus Kunststoff, Metall u. a. hergestelltes Gebilde</div>"
"ein feuchter, nasser Schwamm","<div>Schwamm, der</div><div>aus dem feinfaserigen Skelett eines bestimmten <a href=""http://www.duden.de/rechtschreibung/Schwamm#b2-Bedeutung-1"">Schwammes (1)</a> oder aus einem künstlich hergestellten porigen Material bestehender, weicher, elastischer Gegenstand von großer Saugfähigkeit, der besonders zum Waschen und Reinigen verwendet wird</div>"
"etwas mit einem Schwamm abwischen","<div>Schwamm, der</div><div>aus dem feinfaserigen Skelett eines bestimmten <a href=""http://www.duden.de/rechtschreibung/Schwamm#b2-Bedeutung-1"">Schwammes (1)</a> oder aus einem künstlich hergestellten porigen Material bestehender, weicher, elastischer Gegenstand von großer Saugfähigkeit, der besonders zum Waschen und Reinigen verwendet wird</div>"
"Schwamm drüber!","umgangssprachlich: die Sache soll vergessen sein; reden wir nicht mehr darüber"
"das Material wirkt besonders wasserabweisend","<div>was­ser­ab­wei­send</div><div>wasserabstoßend</div>"
"er murmelte unverständliche Worte","<div>un­ver­ständ­lich</div><div>nicht deutlich zu hören, nicht genau zu verstehen</div>"
"es ist mir unverständlich, wie so etwas passieren konnte","<div>un­ver­ständ­lich</div><div>nicht oder nur sehr schwer zu verstehen, zu begreifen</div>"
"&lt;in übertragener Bedeutung&gt;: jemanden auf etwas stoßen <em>(deutlich auf etwas hinweisen)</em>","<div>sto­ßen</div><div>mit einem <a href=""http://www.duden.de/rechtschreibung/Stosz#b2-Bedeutung-1a"">Stoß (1a)</a> von einer Stelle weg-, irgendwohin bewegen</div>"
"ein rundes, flaches, hartes, weiches Kissen","<div>Kis­sen, das</div><div>mit weichem Material (Federn, Schaumgummi o. Ä.) gefüllte Stoffhülle, die als weiche Unterlage, als Polster für etwas dient</div>"
"morgen ist es vorwiegend heiter","<div>vor­wie­gend</div><div>hauptsächlich, in erster Linie, ganz besonders; zum größten Teil</div>"
"die Bedeutung, Wichtigkeit von etwas aufweisen","<div>auf­wei­sen</div><div>auf etwas hinweisen, etwas aufzeigen</div>"
"Parallelen zu etwas, einen Mangel, Vorzüge aufweisen","<div>auf­wei­sen</div><div>durch etwas Bestimmtes gekennzeichnet sein und dies zeigen, erkennen lassen</div>"
"etwas aufzuweisen haben","etwas haben, über etwas verfügen: gute Zeugnisse, große Erfolge aufzuweisen haben"
"den Aufsatz des Küchenschranks abnehmen","<div>Auf­satz, der</div><div>Aufbau, aufgesetzter Teil bei einem Möbelstück o. Ä.</div>"
"das Buch ist eine Sammlung von Aufsätzen","<div>Auf­satz, der</div><div>kürzere Abhandlung über ein bestimmtes Thema</div>"
"einen Aufsatz schreiben","<div>Auf­satz, der</div><div>im Sprach-, besonders im Deutschunterricht über ein bestimmtes Thema unter Berücksichtigung bestimmter formaler und stilistischer Prinzipien angefertigte Niederschrift</div>"
"ein bedenkliches Gesicht machen","<div>be­denk­lich</div><div>voller <a href=""http://www.duden.de/rechtschreibung/Bedenken#b2-Bedeutung-2"">Bedenken (2)</a>, skeptisch, besorgt</div>"
"das macht, stimmt mich bedenklich","<div>be­denk­lich</div><div>voller <a href=""http://www.duden.de/rechtschreibung/Bedenken#b2-Bedeutung-2"">Bedenken (2)</a>, skeptisch, besorgt</div>"
"verfassungsrechtlich bedenklich","<div>be­denk­lich</div><div>nicht einwandfrei; zweifelhaft, fragwürdig</div>"
"der Himmel sieht bedenklich aus","<div>be­denk­lich</div><div>besorgniserregend</div>"
"eine bedenkliche Wendung nehmen","<div>be­denk­lich</div><div>besorgniserregend</div>"
"jemanden mit einem Bazillus infizieren","<div>in­fi­zie­ren</div><div>eine Krankheit, Krankheitserreger übertragen; anstecken</div>"
"&lt;in übertragener Bedeutung&gt;: er ist mit gefährlichen Gedanken infiziert worden","<div>in­fi­zie­ren</div><div>eine Krankheit, Krankheitserreger übertragen; anstecken</div>"
"was jemanden, etwas anbelangt","jemanden, etwas betreffend: was mich, diese Sache anbelangt, [so] bin ich einverstanden"
"die Region ist landschaftlich sehr divers","<div>di­vers</div><div>verschieden</div>"
"diverse Konzepte, Probleme","<div>di­vers</div><div>einige, mehrere [verschiedene]</div>"
"ein schmales <em>(dünnes, kleines) </em>Büchlein","<div>schmal</div><div>von ziemlich geringer Ausdehnung in der Breite, in seitlicher Richtung</div>"
"eine schmal <em>(eng) </em>geschnittene Hose","<div>schmal</div><div>von ziemlich geringer Ausdehnung in der Breite, in seitlicher Richtung</div>"
"hier wird nur eine schmale <em>(geringe) </em>Auswahl geboten","<div>schmal</div><div>knapp, unzureichend, karg</div>"
"allgemeine Geschäftsbedingungen; Abkürzung: AGB","<div>Ge­schäfts­be­din­gung, die</div><div>für den Abschluss eines <a href=""http://www.duden.de/rechtschreibung/Geschaeft#b2-Bedeutung-1a"">Geschäfts (1a)</a> bindender, im Voraus festgelegter Inhalt von Verträgen</div>"
"in absehbarer <em>(nicht zu langer) </em>Zeit","<div>ab­seh­bar</div><div>sich <a href=""http://www.duden.de/rechtschreibung/absehen#b2-Bedeutung-2"">absehen (2)</a> lassend</div>"
"das Ende ist noch nicht absehbar","<div>ab­seh­bar</div><div>sich <a href=""http://www.duden.de/rechtschreibung/absehen#b2-Bedeutung-2"">absehen (2)</a> lassend</div>"
"seit seiner Operation ist er sehr anfällig <em>(krankheitsanfällig)</em>","<div>an­fäl­lig</div><div>zu Krankheiten, Störungen neigend, ihnen ausgesetzt; nicht widerstandsfähig</div>"
"sie ist ziemlich anfällig für/(seltener:) gegen Erkältungen","<div>an­fäl­lig</div><div>zu Krankheiten, Störungen neigend, ihnen ausgesetzt; nicht widerstandsfähig</div>"
"die Maschine funktionierte einwandfrei","<div>ein­wand­frei</div><div>keinen Anlass zu Beanstandungen gebend; in tadellosem Zustand; ohne Fehler oder Mängel</div>"
"sie hat sich einwandfrei verhalten","<div>ein­wand­frei</div><div>untadelig; so, dass kein Vorwurf u. Ä. aus etwas abgeleitet werden kann</div>"
"eine einwandfreie Beweisführung","<div>ein­wand­frei</div><div>unzweifelhaft, zweifelsfrei, eindeutig</div>"
"viel, alles, manches, einen hohen Einsatz, sein Leben, seine Ehre, seinen guten Ruf wagen","<div>wa­gen</div><div>ohne die Gefahr, das Risiko zu scheuen, etwas tun, dessen Ausgang ungewiss ist; um jemandes, einer Sache willen ein hohes Risiko eingehen</div>"
"einen Versuch, ein Experiment, ein Spiel, eine Wette, eine Operation, einen Staatsstreich, die Flucht wagen","<div>wa­gen</div><div>trotz der Möglichkeit eines Fehlschlags, eines Nachteils o. Ä., des Heraufbeschwörens einer Gefahr den Mut zu etwas haben; sich nicht scheuen, etwas zu tun</div>"
"wer nicht wagt, der nicht gewinnt","<div>wa­gen</div><div>trotz der Möglichkeit eines Fehlschlags, eines Nachteils o. Ä., des Heraufbeschwörens einer Gefahr den Mut zu etwas haben; sich nicht scheuen, etwas zu tun</div>"
"sie wagt sich nicht mehr auf die Straße, aus dem Haus, unter Menschen","<div>wa­gen</div><div>den Mut haben, sich nicht scheuen, irgendwohin zu gehen</div>"
"das Buch, der Bewerber entspricht nicht ganz unseren Erwartungen","<div>ent­spre­chen</div><div>mit jemandem, etwas übereinstimmen, jemandem, einer Sache gleichkommen, gemäß sein, angemessen sein</div>"
"einer Bitte entsprechen","<div>ent­spre­chen</div><div>einen Wunsch, eine Forderung o. Ä. erfüllen, verwirklichen</div>"
"Erdbeeren, Eis mit Sahne","<div>Sah­ne, die</div><div>Kurzform für: <a href=""http://www.duden.de/rechtschreibung/Schlagsahne#b2-Bedeutung-1"">Schlagsahne (1, 2)</a></div>"
"gegebenenfalls kommen wir auf Ihr Angebot zurück","<div>ge­ge­be­nen­falls</div><div>wenn der betreffende Fall eintreten sollte; eventuell; Abkürzung: <a href=""http://www.duden.de/rechtschreibung/ggf_"">ggf.</a></div>"
"Bücher, Geschirr in Kisten verstauen","<div>ver­stau­en</div><div>(zum Transport oder zur Aufbewahrung) [auf relativ engem Raum mit anderem zusammen] unterbringen</div>"
"(scherzhaft) sie verstaute die Kinder im Auto","<div>ver­stau­en</div><div>(zum Transport oder zur Aufbewahrung) [auf relativ engem Raum mit anderem zusammen] unterbringen</div>"
"die Folgen lassen sich nicht absehen","<div>ab­se­hen</div><div>im Voraus erkennen, voraussehen</div>"
"jemandem sein Beileid aussprechen","<div>Bei­leid, das</div><div>Mitgefühl, [offizielle] Anteilnahme bei einem Todesfall</div>"
"angewandte Chemie, Mathematik","<div>an­ge­wandt</div><div>in der Praxis nutzbar gemacht, angewendet</div>"
"das Bett ist mir zu weich","<div>weich</div><div>nicht hart oder fest, sondern einem Druck leicht nachgebend; so beschaffen, dass ein Verändern der Form leicht, mit geringem Kraftaufwand möglich ist</div>"
"auf [den ersten] Anhieb","beim ersten Versuch, sofort, gleich zu Beginn: auf [den ersten] Anhieb etwas bewirken, erreichen können; alles klappte auf Anhieb; etwas auf Anhieb schaffen; sie verstanden sich auf Anhieb"
"sie hat mich mit ihrer Bemerkung, mit ihrem Verhalten sehr, bis aufs Blut geärgert","<div>är­gern</div><div>[dauernd] ärgerlich machen, [heftig] verstimmen, aufbringen</div>"
"ich ärgere mich darüber, dass sie nicht die Wahrheit gesagt hat","<div>är­gern</div><div>ärgerlich, verstimmt, aufgebracht sein, werden; Ärger empfinden</div>"
"ich habe mich über ihn, über mich selbst, über den Fehler furchtbar, maßlos geärgert","<div>är­gern</div><div>ärgerlich, verstimmt, aufgebracht sein, werden; Ärger empfinden</div>"
"an der Qualität war nichts zu bemängeln","<div>be­män­geln</div><div>als Fehler oder Mangel kritisieren, rügen, beanstanden; monieren</div>"
"eine [bestens, seit Langem, seit Jahrhunderten] bewährte Technik, Methode","<div>be­währt</div><div>sich bewährt habend; erprobt</div>"
"ein kündbarer Vertrag","<div>künd­bar</div><div>die Möglichkeit einer Kündigung enthaltend</div>"
"unzerbrechliches, feuerfestes, spülmaschinenfestes Geschirr","<div>Ge­schirr, das</div><div>Gesamtheit der [zusammengehörenden] Gefäße aus Porzellan, Steingut o. Ä., die man zum Essen und Trinken benutzt</div>"
"das gebrauchte Geschirr abwaschen","<div>Ge­schirr, das</div><div>Gesamtheit der Gefäße und Geräte, die man zum Kochen und Essen benutzt</div>"
"dem Pferd das Geschirr anlegen","<div>Ge­schirr, das</div><div>Riemenzeug, mit dem Zugtiere vor den Wagen gespannt werden</div>"
"dieses Gerät ist leicht, einfach zu handhaben","<div>hand­ha­ben</div><div>(ein Werkzeug, Instrument, etwas, was man bei seinem Gebrauch in der Hand hält, mit der Hand führt) führen, bedienen, gebrauchen</div>"
"sie nimmt die Einladung gern an, zumal da/wenn sie allein ist","<div>zu­mal</div><div><a href=""http://www.duden.de/rechtschreibung/besonders#b2-Bedeutung-2a"">besonders (2a)</a>, vor allem, namentlich</div>"
"alle, zumal die Neuen, waren begeistert/alle waren begeistert, zumal die Neuen","<div>zu­mal</div><div><a href=""http://www.duden.de/rechtschreibung/besonders#b2-Bedeutung-2a"">besonders (2a)</a>, vor allem, namentlich</div>"
"jemanden [mit etwas], sich [mit, an etwas] sättigen","<div>sät­ti­gen</div><div><a href=""http://www.duden.de/rechtschreibung/satt#b2-Bedeutung-1a"">satt (1a)</a> machen</div>"
"&lt;in übertragener Bedeutung&gt;: jemandes Ehrgeiz, Neugier, Verlangen, Wissensdrang sättigen","<div>sät­ti­gen</div><div><a href=""http://www.duden.de/rechtschreibung/satt#b2-Bedeutung-1a"">satt (1a)</a> machen</div>"
"die Suppe sättigt [kaum]","<div>sät­ti­gen</div><div>(von Speisen) [schnell] satt machen</div>"
"durch ein großes Angebot den Markt sättigen","<div>sät­ti­gen</div><div>so viel hinzufügen, dass die Grenze der Aufnahmefähigkeit erreicht ist; so weit steigern, dass ein Grenzwert erreicht ist</div>"
"mit/von etwas gesättigt sein","besonders viel von etwas enthalten: die Luft war von Düften gesättigt"
"gesättigte Farben","<div>sät­ti­gen</div><div>so viel hinzufügen, dass die Grenze der Aufnahmefähigkeit erreicht ist; so weit steigern, dass ein Grenzwert erreicht ist</div>"
"&lt;in übertragener Bedeutung&gt;: sie war [wie] erschlagen (umgangssprachlich; <em>fassungslos, bestürzt</em>), als sie das hörte","<div>er­schla­gen</div><div>durch einen oder mehrere Schläge, Hiebe töten; totschlagen</div>"
"er wurde mit einem Hammer erschlagen","<div>er­schla­gen</div><div>durch einen oder mehrere Schläge, Hiebe töten; totschlagen</div>"
"er wurde vom Blitz erschlagen","<div>er­schla­gen</div><div>auf jemanden mit Wucht, Heftigkeit treffen und ihn töten</div>"
"Geist und Körper","<div>Geist, der</div><div>denkendes Bewusstsein des Menschen, Verstandeskraft, Verstand</div>"
"sein Geist ist verwirrt","<div>Geist, der</div><div>denkendes Bewusstsein des Menschen, Verstandeskraft, Verstand</div>"
"den/seinen Geist aufgeben","<div>1. <em>veraltet, noch ironisch; </em>sterben; nach Klagelieder Jeremia 2, 12.</div><div>2. <em>umgangssprachlich scherzhaft; </em>entzweigehen, nicht mehr funktionieren: die Maschine hat ihren Geist aufgegeben.</div>"
"jemandem auf den Geist gehen","umgangssprachlich: jemandem äußerst lästig werden"
"geschmeidiges Leder","<div>ge­schmei­dig</div><div>biegsam, schmiegsam und glatt; weich und dabei voll Spannkraft</div>"
"sie ist geschmeidig wie eine Katze","<div>ge­schmei­dig</div><div>biegsame, gelenkige Glieder besitzend und daher sehr gewandt; mit gleitenden, kraftvollen und dabei anmutigen Bewegungen</div>"
"&lt;in übertragener Bedeutung&gt;: sein Gedächtnis ist wie ein Sieb <em>(er vergisst alles)</em>","<div>Sieb, das</div><div>Gerät, das im Ganzen oder am Boden aus einem gleichmäßig durchlöcherten Material oder aus einem netz- oder gitterartigen [Draht]geflecht besteht und das dazu dient, Festes aus einer Flüssigkeit auszusondern oder kleinere Bestandteile einer [körnigen] Substanz von den größeren zu trennen</div>"
"ein feines Sieb","<div>Sieb, das</div><div>Gerät, das im Ganzen oder am Boden aus einem gleichmäßig durchlöcherten Material oder aus einem netz- oder gitterartigen [Draht]geflecht besteht und das dazu dient, Festes aus einer Flüssigkeit auszusondern oder kleinere Bestandteile einer [körnigen] Substanz von den größeren zu trennen</div>"
"das Volumen einer Kugel, einer Luftschicht berechnen","<div>Vo­lu­men, das</div><div>räumliche Ausdehnung; Rauminhalt; Zeichen: V</div>"
"die Knitter ausbügeln","<div>Knit­ter, der</div><div>unregelmäßige, durch Sitzen oder Drücken entstandene kleine Falte besonders in einem Stoff</div>"
"die Tischdecke ist voller Knitter","<div>Knit­ter, der</div><div>unregelmäßige, durch Sitzen oder Drücken entstandene kleine Falte besonders in einem Stoff</div>"
"er kocht, lebt, ernährt sich vegetarisch","<div>ve­ge­ta­risch</div><div>(in Bezug auf die Ernährungsweise) pflanzlich, Pflanzen…; dem Vegetarismus entsprechend, auf ihm beruhend</div>"
"jemanden windelweich, grün und blau hauen","<div>hau­en</div><div>(besonders ein Kind) schlagen, prügeln; Schläge austeilen</div>"
"Fahrkarten, Zigaretten, etwas zum Essen besorgen","<div>be­sor­gen</div><div>etwas beschaffen; kaufen</div>"
"die Steine habe ich mir auf einer Baustelle besorgt","<div>be­sor­gen</div><div>heimlich mitnehmen; stehlen</div>"
